onset	duration	bid
20.150	4.022	0.5
31.058	4.022	1.0
41.033	4.022	0.5
52.290	4.022	1.5
62.548	4.022	0.0
73.639	4.022	2.0
83.764	4.022	1.0
94.405	4.022	1.0
105.130	4.022	3.0
116.854	4.022	2.0
126.046	4.022	2.5
136.171	4.022	0.5
146.962	4.022	0.5
158.020	4.022	1.0
168.261	4.022	0.5
179.302	4.022	0.5
189.127	4.022	0.5
199.735	4.022	1.0
210.643	4.022	0.5
220.968	4.022	1.0
231.059	4.022	2.0
241.201	4.022	1.0
251.859	4.022	0.5
262.600	4.022	1.0
273.358	4.022	3.0
283.766	4.022	0.5
293.924	4.022	2.5
303.566	4.022	1.0
314.141	4.022	1.0
324.216	4.022	1.0
334.574	4.022	3.5
344.399	4.022	1.0
354.558	4.022	1.0
365.715	4.022	2.0
375.540	4.022	3.5
386.231	4.022	1.0
396.823	4.022	1.0
408.063	4.022	0.0
418.738	4.022	2.5
428.197	4.022	2.5
437.006	4.022	0.5
447.897	4.022	0.5
459.088	4.022	3.5
469.246	4.022	1.0
